Symbol,Name,Last Sale,Market Cap,% Change,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$147.45,43211001626.0,-0.867%,Industrials,Biotechnology: Laboratory Analytical Instruments
AAL,American Airlines Group Inc. Common Stock,$14.82,9703496013.0,0.271%,Consumer Discretionary,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$172.28,2660327258680.0,0.531%,Technology,Computer Manufacturing
ABBV,AbbVie Inc. Common Stock,$178.45,315227170914.0,0.535%,Health Care,Biotechnology: Pharmaceutical Preparations
ABNB,Airbnb Inc. Class A Common Stock,$167.86,108616275338.0,-0.19%,Consumer Discretionary,Hotels/Resorts
ABT,Abbott Laboratories Common Stock,$110.57,191859326835.0,-0.843%,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,$90.68,33928032176.0,-0.011%,Finance,Property-Casualty Insurers
ACN,Accenture plc Class A Ordinary Shares (Ireland),$337.50,225055122300.0,-2.182%,Consumer Discretionary,Business Services
ADBE,Adobe Inc. Common Stock,$499.52,225783040000.0,-2.294%,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$193.51,95963186107.0,-0.84%,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,$62.00,31610647486.0,-0.752%,Consumer Staples,Packaged Foods
ADP,Automatic Data Processing Inc. Common Stock,$247.61,101715852295.0,-0.538%,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$262.86,56229782330.0,-1.087%,Technology,Computer Software: Prepackaged Software
AEE,Ameren Corporation Common Stock,$71.68,19087585987.0,-0.167%,Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$82.95,43647011326.0,-0.181%,Utilities,Electric Utilities: Central
AES,The AES Corporation Common Stock,$16.24,11535062228.0,3.046%,Utilities,Electric Utilities: Central
AFL,AFLAC Incorporated Common Stock,$84.16,48561020884.0,-1.012%,Finance,Accident &Health Insurance
AIG,American International Group Inc. New Common Stock,$76.38,52011239940.0,-1.331%,Finance,Life Insurance
AIZ,Assurant Inc. Common Stock,$179.68,9339341277.0,0.078%,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,$246.53,53447704000.0,-1.506%,Finance,Specialty Insurers
AKAM,Akamai Technologies Inc. Common Stock,$108.97,16512256791.0,-0.16%,Consumer Discretionary,Business Services
ALB,Albemarle Corporation Common Stock,$120.86,14189320416.0,-3.204%,Industrials,Major Chemicals
ALGN,Align Technology Inc. Common Stock,$319.42,23989761843.0,-0.576%,Health Care,Industrial Specialties
ALL,Allstate Corporation (The) Common Stock,$165.25,43471890329.0,1.899%,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,$134.12,11742794519.0,-0.865%,Consumer Discretionary,Diversified Commercial Services
AMAT,Applied Materials Inc. Common Stock,$210.25,174696169099.0,-0.261%,Technology,Industrial Machinery/Components
AMCR,Amcor plc Ordinary Shares,$9.23,13340517847.0,-0.539%,Consumer Discretionary,Miscellaneous manufacturing industries
AMD,Advanced Micro Devices Inc. Common Stock,$179.65,290276105986.0,0.543%,Technology,Semiconductors
AME,AMETEK Inc.,$183.15,42309973258.0,-0.952%,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc. Common Stock,$276.17,148004722889.0,-0.282%,Health Care,Biotechnology: Pharmaceutical Preparations
AMP,Ameriprise Financial Inc. Common Stock,$430.16,43141010518.0,-1.278%,Finance,Investment Managers
AMT,American Tower Corporation (REIT) Common Stock,$192.79,89908042180.0,-0.593%,Real Estate,Real Estate Investment Trusts
AMZN,Amazon.com Inc. Common Stock,$178.87,1857990891521.0,0.404%,Consumer Discretionary,Catalog/Specialty Distribution
ANET,Arista Networks Inc. Common Stock,$306.42,95797191389.0,0.598%,Technology,Computer peripheral equipment
ANSS,ANSYS Inc. Common Stock,$349.24,30390098917.0,0.299%,Technology,Computer Software: Prepackaged Software
AON,Aon plc Class A Ordinary Shares (Ireland),$326.79,64801716821.0,0.083%,Finance,Specialty Insurers
AOS,A.O. Smith Corporation Common Stock,$89.28,13141578082.0,-0.668%,Consumer Discretionary,Consumer Electronics/Appliances
APA,APA Corporation Common Stock,$33.46,10098857717.0,-1.327%,Energy,Oil & Gas Production
APD,Air Products and Chemicals Inc. Common Stock,$236.71,52620881782.0,0.518%,Industrials,Major Chemicals
APH,Amphenol Corporation Common Stock,$114.42,68635392280.0,0.009%,Technology,Electrical Products
APTV,Aptiv PLC Ordinary Shares,$78.72,21965717148.0,-2.284%,Consumer Discretionary,Auto Parts:O.E.M.
ARE,Alexandria Real Estate Equities Inc. Common Stock,$125.53,21963765552.0,-2.38%,Real Estate,Real Estate Investment Trusts
ATO,Atmos Energy Corporation Common Stock,$116.57,17583384878.0,-0.223%,Utilities,Oil/Gas Transmission
AVB,AvalonBay Communities Inc. Common Stock,$183.17,26014776582.0,-0.877%,Real Estate,Real Estate Investment Trusts
AVGO,Broadcom Inc. Common Stock,$1353.47,627226741642.0,0.406%,Technology,Semiconductors
AVY,Avery Dennison Corporation Common Stock,$215.58,17356057570.0,-1.395%,Consumer Discretionary,Containers/Packaging
AWK,American Water Works Company Inc. Common Stock,$117.75,22932438930.0,-0.389%,Utilities,Water Supply
AXON,Axon Enterprise Inc. Common Stock,$316.32,23819791818.0,0.073%,Industrials,Ordnance And Accessories
AXP,American Express Company Common Stock,$225.96,163565617071.0,-1.379%,Finance,Finance: Consumer Services
AZO,AutoZone Inc. Common Stock,$3239.32,56049626789.0,0.901%,Consumer Discretionary,Auto & Home Supply Stores
BA,Boeing Company (The) Common Stock,$188.85,115224033464.0,0.613%,Industrials,Aerospace
BAC,Bank of America Corporation Common Stock,$37.05,291681961931.0,-1.226%,Finance,Major Banks
BALL,Ball Corporation Common Stock,$66.22,20901845423.0,1.053%,Industrials,Containers/Packaging
BAX,Baxter International Inc. Common Stock,$41.94,21298282708.0,-0.167%,Health Care,Medical/Dental Instruments
BBWI,Bath & Body Works Inc.,$46.75,10562722676.0,-3.149%,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BBY,Best Buy Co. Inc. Common Stock,$81.66,17588044716.0,1.517%,Consumer Discretionary,Consumer Electronics/Video Chains
BDX,Becton Dickinson and Company Common Stock,$246.25,71142174630.0,1.916%,Health Care,Medical/Dental Instruments
BEN,Franklin Resources Inc. Common Stock,$27.37,14411890353.0,-1.724%,Finance,Investment Managers
BG,Bunge Limited Common Shares,$99.22,14229954895.0,-0.889%,Consumer Staples,Packaged Foods
BIIB,Biogen Inc. Common Stock,$218.10,31703190044.0,-1.20%,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,$350.46,9994571081.0,-0.435%,Industrials,Biotechnology: Laboratory Analytical Instruments
BK,The Bank of New York Mellon Corporation Common Stock,$56.47,42603079470.0,-1.414%,Finance,Major Banks
BKNG,Booking Holdings Inc. Common Stock,$3624.73,123860746698.0,-0.633%,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,$33.44,33469474217.0,-0.948%,Industrials,Metal Fabrications
BLDR,Builders FirstSource Inc. Common Stock,$210.54,25673261917.0,-0.275%,Consumer Discretionary,RETAIL: Building Materials
BLK,BlackRock Inc. Common Stock,$824.83,122852234852.0,-2.046%,Finance,Investment Bankers/Brokers/Service
BMY,Bristol-Myers Squibb Company Common Stock,$51.93,105012503833.0,0.659%,Health Care,Biotechnology: Pharmaceutical Preparations
BR,Broadridge Financial Solutions Inc. Common Stock,$203.51,23967824289.0,-1.233%,Consumer Discretionary,Business Services
BRO,Brown & Brown Inc. Common Stock,$86.00,24578960218.0,-0.046%,Finance,Specialty Insurers
BSX,Boston Scientific Corporation Common Stock,$67.62,99205006298.0,0.089%,Health Care,Medical/Dental Instruments
BWA,BorgWarner Inc. Common Stock,$33.20,7628697760.0,-0.599%,Consumer Discretionary,Auto Parts:O.E.M.
BX,Blackstone Inc. Common Stock,$127.86,91374438738.0,-2.886%,Finance,Investment Managers
BXP,Boston Properties Inc. Common Stock,$63.27,9934084705.0,-4.296%,Real Estate,Real Estate Investment Trusts
C,Citigroup Inc. Common Stock,$60.82,116249327742.0,-0.832%,Finance,Major Banks
CAG,ConAgra Brands Inc. Common Stock,$28.99,13857365762.0,0.138%,Consumer Staples,Packaged Foods
CAH,Cardinal Health Inc. Common Stock,$111.01,27001312315.0,-1.351%,Health Care,Other Pharmaceuticals
CARR,Carrier Global Corporation Common Stock ,$57.86,51979343759.0,-3.276%,Industrials,Industrial Machinery/Components
CAT,Caterpillar Inc. Common Stock,$358.11,178831993802.0,-1.769%,Industrials,Construction/Ag Equipment/Trucks
CB,Chubb Limited  Common Stock,$255.51,103675429966.0,-0.312%,Finance,Property-Casualty Insurers
CBOE,Cboe Global Markets Inc. Common Stock,$180.92,20230248250.0,-1.781%,Finance,Investment Bankers/Brokers/Service
CBRE,CBRE Group Inc Common Stock Class A,$96.59,29527164566.0,-1.559%,Finance,Real Estate
CCI,Crown Castle Inc. Common Stock,$102.80,44637329653.0,-0.83%,Real Estate,Real Estate Investment Trusts
CCL,Carnival Corporation Common Stock,$17.08,22313208854.0,0.353%,Consumer Discretionary,Marine Transportation
CDNS,Cadence Design Systems Inc. Common Stock,$322.74,87862414860.0,-0.019%,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$255.67,34314779475.0,0.338%,Consumer Discretionary,Catalog/Specialty Distribution
CE,Celanese Corporation Common Stock,$165.41,18014211925.0,-1.741%,Industrials,Major Chemicals
CEG,Constellation Energy Corporation Common Stock ,$178.24,56442643733.0,2.36%,Utilities,Electric Utilities: Central
CF,CF Industries Holdings Inc. Common Stock,$83.66,15756348379.0,-2.323%,Industrials,Agricultural Chemicals
CFG,Citizens Financial Group Inc. Common Stock,$35.15,16125298813.0,-1.568%,Finance,Major Banks
CHD,Church & Dwight Company Inc. Common Stock,$104.60,25499067819.0,0.693%,Consumer Discretionary,Package Goods/Cosmetics
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$74.47,8704854897.0,0.161%,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$290.60,42202518385.0,-1.361%,Telecommunications,Cable & Other Pay Television Services
CI,The Cigna Group Common Stock,$351.78,102844649639.0,-0.548%,Health Care,Medical Specialities
CINF,Cincinnati Financial Corporation Common Stock,$117.42,18395606414.0,-1.195%,Finance,Property-Casualty Insurers
CL,Colgate-Palmolive Company Common Stock,$89.20,73425061975.0,0.484%,Consumer Discretionary,Package Goods/Cosmetics
CLX,Clorox Company (The) Common Stock,$150.75,18709029700.0,2.093%,Consumer Discretionary,Specialty Chemicals
CMA,Comerica Incorporated Common Stock,$51.65,6843091301.0,-2.363%,Finance,Major Banks
CMCSA,Comcast Corporation Class A Common Stock,$42.74,169757182669.0,-0.35%,Telecommunications,Cable & Other Pay Television Services
CME,CME Group Inc. Class A Common Stock,$214.50,77218926642.0,-0.736%,Finance,Investment Bankers/Brokers/Service
CMG,Chipotle Mexican Grill Inc. Common Stock,$2882.04,79028905905.0,-0.79%,Consumer Discretionary,Restaurants
CMI,Cummins Inc. Common Stock,$290.34,41186716958.0,-0.364%,Industrials,Industrial Machinery/Components
CMS,CMS Energy Corporation Common Stock,$58.97,17363340271.0,0.136%,Utilities,Power Generation
CNC,Centene Corporation Common Stock,$76.93,41147010590.0,-0.324%,Health Care,Medical Specialities
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$27.83,17577280668.0,-0.572%,Utilities,Electric Utilities: Central
COF,Capital One Financial Corporation Common Stock,$141.16,53670756975.0,-1.411%,Finance,Major Banks
COO,The Cooper Companies Inc. Common Stock,$100.42,19959106039.0,-0.937%,Health Care,Ophthalmic Goods
COP,ConocoPhillips Common Stock,$123.03,144733521515.0,-0.389%,Energy,Integrated oil Companies
COR,Cencora Inc. Common Stock,$242.50,48374383303.0,0.07%,Health Care,Other Pharmaceuticals
COST,Costco Wholesale Corporation Common Stock,$734.80,325886765653.0,-1.045%,Consumer Discretionary,Department/Specialty Retail Stores
CPB,Campbell Soup Company Common Stock,$43.55,12982368274.0,0.694%,Consumer Staples,Packaged Foods
CPRT,Copart Inc. (DE) Common Stock,$57.41,55197523660.0,0.35%,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CPT,Camden Property Trust Common Stock,$98.22,10506488992.0,-1.484%,Real Estate,Real Estate Investment Trusts
CRL,Charles River Laboratories International Inc. Common Stock,$272.57,13996406809.0,-0.315%,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce Inc. Common Stock,$307.77,298536900000.0,-0.201%,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$49.78,201568532842.0,-0.20%,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$95.72,39092940206.0,-2.057%,Finance,Real Estate
CSX,CSX Corporation Common Stock,$37.35,73173667674.0,-1.373%,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,$639.39,64815881825.0,-0.431%,Consumer Discretionary,Apparel
CTLT,Catalent Inc. Common Stock,$55.79,10083354888.0,-0.107%,Health Care,Biotechnology: Pharmaceutical Preparations
CTRA,Coterra Energy Inc. Common Stock,$27.29,20517916419.0,-0.401%,Energy,Oil & Gas Production
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$71.90,35794842101.0,-0.937%,Technology,EDP Services
CTVA,Corteva Inc. Common Stock ,$55.07,38647189810.0,-1.273%,Consumer Staples,Farming/Seeds/Milling
CVS,CVS Health Corporation Common Stock,$78.48,98763120919.0,0.268%,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVX,Chevron Corporation Common Stock,$154.66,287245248286.0,-0.129%,Energy,Integrated oil Companies
CZR,Caesars Entertainment Inc. Common Stock,$41.31,8935343416.0,-0.769%,Consumer Discretionary,Hotels/Resorts
D,Dominion Energy Inc. Common Stock,$48.32,40465258178.0,-0.371%,Utilities,Electric Utilities: Central
DAL,Delta Air Lines Inc. Common Stock,$45.59,29329134367.0,-0.891%,Consumer Discretionary,Air Freight/Delivery Services
DAY,Dayforce Inc. Common Stock,$69.17,10832022000.0,-2.426%,Technology,EDP Services
DD,DuPont de Nemours Inc. Common Stock,$75.74,31627726119.0,0.906%,Industrials,Major Chemicals
DE,Deere & Company Common Stock,$398.86,111025955641.0,0.307%,Industrials,Industrial Machinery/Components
DECK,Deckers Outdoor Corporation Common Stock,$922.44,23677392857.0,-3.201%,Consumer Discretionary,Shoe Manufacturing
DFS,Discover Financial Services Common Stock,$125.76,31509833773.0,-1.117%,Finance,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,$150.70,33078236178.0,-2.308%,Consumer Discretionary,Department/Specialty Retail Stores
DGX,Quest Diagnostics Incorporated Common Stock,$129.30,14314452985.0,0.365%,Health Care,Medical Specialities
DHI,D.R. Horton Inc. Common Stock,$161.82,53694672573.0,0.26%,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation Common Stock,$254.80,188475999530.0,0.272%,Industrials,Industrial Machinery/Components
DIS,Walt Disney Company (The) Common Stock,$115.87,212540599969.0,-0.711%,Consumer Discretionary,Services-Misc. Amusement & Recreation
DLR,Digital Realty Trust Inc. Common Stock,$138.51,43255781411.0,-1.071%,Real Estate,Real Estate Investment Trusts
DLTR,Dollar Tree Inc. Common Stock,$125.71,27402645193.0,-1.179%,Consumer Discretionary,Department/Specialty Retail Stores
DOC,Healthpeak Properties Inc. Common Stock,$17.54,9597414122.0,-1.571%,Real Estate,Real Estate Investment Trusts
DOV,Dover Corporation Common Stock,$176.41,24679171555.0,-0.838%,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,$57.68,40508285215.0,-0.432%,Industrials,Major Chemicals
DPZ,Domino's Pizza Inc Common Stock,$458.42,15958848478.0,0.559%,Consumer Discretionary,Food Distributors
DRI,Darden Restaurants Inc. Common Stock,$165.11,19715919334.0,1.146%,Consumer Discretionary,Restaurants
DTE,DTE Energy Company Common Stock,$108.88,22478601007.0,-0.247%,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,$94.61,72926470906.0,-0.369%,Utilities,Power Generation
DVA,DaVita Inc. Common Stock,$134.11,11761447000.0,-1.563%,Health Care,Misc Health and Biotechnology Services
DVN,Devon Energy Corporation Common Stock,$48.37,30714950000.0,-0.33%,Energy,Oil & Gas Production
DXCM,DexCom Inc. Common Stock,$133.18,51342943769.0,-0.172%,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$131.70,35210055714.0,-0.589%,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$51.42,26635560000.0,-1.115%,Consumer Discretionary,Catalog/Specialty Distribution
ECL,Ecolab Inc. Common Stock,$229.27,65459601047.0,0.197%,Consumer Discretionary,Package Goods/Cosmetics
ED,Consolidated Edison Inc. Common Stock,$88.60,30612188747.0,-0.056%,Utilities,Power Generation
EFX,Equifax Inc. Common Stock,$264.16,32744320247.0,-0.684%,Finance,Finance: Consumer Services
EG,Everest Group Ltd. Common Stock,$384.17,16665898899.0,-0.068%,Finance,Property-Casualty Insurers
EIX,Edison International Common Stock,$69.56,26747508639.0,-0.869%,Utilities,Electric Utilities: Central
EL,Estee Lauder Companies Inc. (The) Common Stock,$143.18,51326222701.0,-2.099%,Consumer Discretionary,Package Goods/Cosmetics
ELV,Elevance Health Inc. Common Stock,$513.85,119556829480.0,-0.159%,Health Care,Medical Specialities
EMN,Eastman Chemical Company Common Stock,$95.27,11179340110.0,-0.209%,Industrials,Major Chemicals
EMR,Emerson Electric Company Common Stock,$112.45,64287665000.0,-0.133%,Technology,Consumer Electronics/Appliances
ENPH,Enphase Energy Inc. Common Stock,$114.61,15559377843.0,-0.667%,Technology,Semiconductors
EOG,EOG Resources Inc. Common Stock,$124.84,72407433700.0,-0.984%,Energy,Oil & Gas Production
EPAM,EPAM Systems Inc. Common Stock,$270.82,15660843008.0,-4.543%,Technology,EDP Services
EQIX,Equinix Inc. Common Stock REIT,$800.97,75788942006.0,-1.315%,Real Estate,Real Estate Investment Trusts
EQR,Equity Residential Common Shares of Beneficial Interest,$62.17,23596846752.0,-2.017%,Real Estate,Real Estate Investment Trusts
EQT,EQT Corporation Common Stock,$34.36,15133071720.0,0.00%,Energy,Oil & Gas Production
ES,Eversource Energy (D/B/A) Common Stock,$57.89,20243391024.0,0.00%,Utilities,Electric Utilities: Central
